Time,Fall,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,heart_rate
10/29/2024 3:09,0,13576,2400,8476,21,214,-989,72
10/29/2024 3:10,0,13848,2084,8540,-6,149,-930,66
10/29/2024 3:10,0,14052,1532,7808,-39,26,-896,65
10/29/2024 3:10,0,14168,1500,7948,17,225,-989,68
10/29/2024 3:10,0,14140,1316,8068,94,67,-1070,68
10/29/2024 3:11,0,13548,2248,8596,42,254,-977,66
10/29/2024 3:11,0,16104,416,6192,-215,187,-86,75
10/29/2024 3:11,0,14372,168,6796,889,863,-1488,68
10/29/2024 3:11,0,13828,2292,8660,-27,231,-972,66
10/29/2024 3:11,0,14356,-192,7112,756,648,-1696,73
10/29/2024 3:11,0,14468,336,6376,887,1009,-1192,83
10/29/2024 3:11,1,12292,2188,8384,176,-2441,-1092,99
10/29/2024 3:11,0,13492,2156,9280,-1,198,-987,69
10/29/2024 3:11,0,13332,2132,9048,31,211,-966,74
10/29/2024 3:11,0,13232,2120,8840,56,127,-1044,71
10/29/2024 3:11,0,13452,2200,8948,17,165,-1017,70
10/29/2024 3:11,0,13148,2232,9200,-17,308,-956,66
10/29/2024 3:11,0,13428,2104,8968,-17,263,-952,79
10/29/2024 3:11,1,1680,2340,1296,-3190,10744,10209,98
10/29/2024 3:11,0,12736,2892,9680,23,126,-984,75
10/29/2024 3:11,0,12692,2736,9568,35,202,-981,75
10/29/2024 3:11,0,12596,2792,9648,-13,212,-968,68
10/29/2024 3:11,0,12808,2808,9636,12,214,-986,77
10/29/2024 3:11,0,12392,3120,9904,-9,76,-946,75
10/29/2024 3:11,0,12648,2840,9748,24,225,-1017,73
10/29/2024 3:12,0,12732,2836,9548,19,183,-984,76
10/29/2024 3:12,0,12784,2812,9616,-12,228,-984,69
10/29/2024 3:12,0,12780,2812,9664,9,224,-984,77
10/29/2024 3:12,0,12776,2876,9716,-8,201,-977,68
10/29/2024 3:12,0,12648,2808,9644,15,223,-977,78
10/29/2024 3:12,0,12532,2808,9720,6,228,-994,74
10/29/2024 3:12,0,12748,2884,9560,13,226,-964,71
10/29/2024 3:12,0,12728,2756,9580,27,194,-992,74
10/29/2024 3:12,0,12628,2852,9652,13,272,-957,73
10/29/2024 3:12,0,12616,2840,9708,6,215,-973,74
10/29/2024 3:12,0,12732,2812,9644,19,216,-994,67
10/29/2024 3:12,0,12656,2776,9732,-16,220,-973,77
10/29/2024 3:12,0,12664,2932,9660,35,195,-980,74
10/29/2024 3:12,0,12928,2772,9536,-16,247,-968,75
10/29/2024 3:12,0,12696,2804,9680,31,196,-1000,71
10/29/2024 3:12,0,12732,2780,9792,4,222,-990,72
10/29/2024 3:12,0,14072,-1404,7900,-300,110,-1157,69
10/29/2024 3:12,0,14164,-3236,8576,2996,783,1382,74
10/29/2024 3:12,0,18292,2748,6792,-366,-28,-1447,65
10/29/2024 3:12,0,13332,528,9432,24,249,-1007,72
10/29/2024 3:12,0,14064,1404,7724,-1363,-2982,943,76
10/29/2024 3:13,0,14016,1796,8056,-45,119,-915,66
10/29/2024 3:13,0,13836,1760,8148,-31,149,-972,80
10/29/2024 3:13,1,13000,1860,7520,60,290,-1039,94
10/29/2024 3:13,0,13916,1736,8124,-53,83,-902,79
10/29/2024 3:13,0,13876,1828,8168,70,297,-1066,65
10/29/2024 3:13,0,14028,1884,8216,-50,17,-881,79
10/29/2024 3:13,0,13768,1708,8268,402,1039,-1547,69
10/29/2024 3:13,0,13608,1508,8024,120,131,-1116,67
10/29/2024 3:13,0,13792,1908,8192,-120,-75,-814,70
10/29/2024 3:13,0,13816,1920,8220,337,893,-1430,72
10/29/2024 3:14,0,13948,1904,8092,89,431,-1124,74
10/29/2024 3:14,0,13492,396,8976,3,238,-973,73
10/29/2024 3:14,0,13624,380,8856,-3,267,-937,67
10/29/2024 3:14,0,13404,452,8804,-18,270,-961,78
10/29/2024 3:14,0,13516,428,8644,9,241,-960,76
10/29/2024 3:14,0,13576,536,8840,10,216,-965,66
10/29/2024 3:14,0,13540,360,8904,9,204,-990,78
10/29/2024 3:14,0,13688,484,8756,34,202,-1000,67
10/29/2024 3:14,0,13532,504,8840,17,232,-1018,78
10/29/2024 3:14,0,16056,1012,11220,99,-839,-1168,75
10/29/2024 3:14,0,13532,500,8892,12,214,-984,79
10/29/2024 3:14,0,13596,276,8736,-14,226,-983,76
10/29/2024 3:14,0,13712,420,8816,-1,177,-982,68
10/29/2024 3:14,0,14712,2052,9500,2400,2962,-4375,66
10/29/2024 3:14,0,12728,248,9952,1072,392,-378,66
10/29/2024 3:15,0,12800,456,10180,28,234,-967,74
10/29/2024 3:15,0,12600,472,10000,20,203,-1001,74
10/29/2024 3:15,0,12800,572,10132,0,208,-949,67
10/29/2024 3:15,0,12804,492,9976,-8,203,-950,72
10/29/2024 3:15,0,12652,392,9868,4,205,-945,78
10/29/2024 3:16,0,12616,536,10040,6,183,-955,73
10/29/2024 3:16,0,12676,512,9908,55,188,-998,72
10/29/2024 3:16,0,12748,596,10052,24,220,-960,76
10/29/2024 3:16,0,12472,-2936,12904,-2217,2803,-362,67
10/29/2024 3:16,0,13212,476,9740,1346,197,-2141,77
10/29/2024 3:16,0,12224,2748,10436,1001,-1107,-1744,76
10/29/2024 3:16,0,12808,1552,10660,365,126,-673,88
